gameid,playername,result
ESPORTSTMNT01_2700815,Kingen,0
ESPORTSTMNT01_2700815,Pyosik,0
ESPORTSTMNT01_2700815,Zeka,0
ESPORTSTMNT01_2700815,Deft,0
ESPORTSTMNT01_2700815,BeryL,0
ESPORTSTMNT01_2700815,Dove,1
ESPORTSTMNT01_2700815,Croco,1
ESPORTSTMNT01_2700815,Clozer,1
ESPORTSTMNT01_2700815,Envyy,1
ESPORTSTMNT01_2700815,Kael,1
ESPORTSTMNT01_2690695,Kingen,0
ESPORTSTMNT01_2690695,Pyosik,0
ESPORTSTMNT01_2690695,Zeka,0
ESPORTSTMNT01_2690695,Deft,0
ESPORTSTMNT01_2690695,BeryL,0
ESPORTSTMNT01_2690695,Dove,1
ESPORTSTMNT01_2690695,Croco,1
ESPORTSTMNT01_2690695,Clozer,1
ESPORTSTMNT01_2690695,Envyy,1
ESPORTSTMNT01_2690695,Kael,1
ESPORTSTMNT01_2690705,Zeus,1
ESPORTSTMNT01_2690705,Oner,1
ESPORTSTMNT01_2690705,Faker,1
ESPORTSTMNT01_2690705,Gumayusi,1
ESPORTSTMNT01_2690705,Keria,1
ESPORTSTMNT01_2690705,Kiin,0
ESPORTSTMNT01_2690705,Ellim,0
ESPORTSTMNT01_2690705,FATE,0
ESPORTSTMNT01_2690705,Teddy,0
ESPORTSTMNT01_2690705,Hoit,0
ESPORTSTMNT01_2690725,Kiin,0
ESPORTSTMNT01_2690725,Ellim,0
ESPORTSTMNT01_2690725,FATE,0
ESPORTSTMNT01_2690725,Teddy,0
ESPORTSTMNT01_2690725,Hoit,0
ESPORTSTMNT01_2690725,Zeus,1
ESPORTSTMNT01_2690725,Oner,1
ESPORTSTMNT01_2690725,Faker,1
ESPORTSTMNT01_2690725,Gumayusi,1
ESPORTSTMNT01_2690725,Keria,1
ESPORTSTMNT01_2701248,Canna,1
ESPORTSTMNT01_2701248,Dread,1
ESPORTSTMNT01_2701248,Bdd,1
ESPORTSTMNT01_2701248,Ghost,1
ESPORTSTMNT01_2701248,Effort,1
