gameid,teamname,result
ESPORTSTMNT01_2700815,DRX,0
ESPORTSTMNT01_2700815,BNK FEARX,1
ESPORTSTMNT01_2690695,DRX,0
ESPORTSTMNT01_2690695,BNK FEARX,1
ESPORTSTMNT01_2690705,T1,1
ESPORTSTMNT01_2690705,Kwangdong Freecs,0
ESPORTSTMNT01_2690725,Kwangdong Freecs,0
ESPORTSTMNT01_2690725,T1,1
ESPORTSTMNT01_2701248,Nongshim RedForce,1
ESPORTSTMNT01_2701248,Hanwha Life Esports,0
ESPORTSTMNT01_2701277,Hanwha Life Esports,1
ESPORTSTMNT01_2701277,Nongshim RedForce,0
ESPORTSTMNT01_2701282,Nongshim RedForce,0
ESPORTSTMNT01_2701282,Hanwha Life Esports,1
ESPORTSTMNT01_2701289,KT Rolster,0
ESPORTSTMNT01_2701289,Dplus KIA,1
ESPORTSTMNT01_2701333,KT Rolster,0
ESPORTSTMNT01_2701333,Dplus KIA,1
ESPORTSTMNT01_2691507,DRX,0
ESPORTSTMNT01_2691507,Gen.G,1
ESPORTSTMNT01_2691515,Gen.G,1
ESPORTSTMNT01_2691515,DRX,0
ESPORTSTMNT01_2691518,OKSavingsBank Brion,1
ESPORTSTMNT01_2691518,T1,0
ESPORTSTMNT01_2691546,T1,1
ESPORTSTMNT01_2691546,OKSavingsBank Brion,0
ESPORTSTMNT01_2691557,OKSavingsBank Brion,0
ESPORTSTMNT01_2691557,T1,1
ESPORTSTMNT04_2090326,MAD Lions KOI,1
ESPORTSTMNT04_2090326,Team Vitality,0
ESPORTSTMNT04_2090342,Rogue,1
ESPORTSTMNT04_2090342,SK Gaming,0
ESPORTSTMNT01_2701805,GiantX,0
ESPORTSTMNT01_2701805,G2 Esports,1
ESPORTSTMNT04_2090354,Astralis,0
ESPORTSTMNT04_2090354,Misfits Gaming,1
ESPORTSTMNT04_2090358,Fnatic,1
ESPORTSTMNT04_2090358,Team BDS,0
ESPORTSTMNT01_2691713,TSM,0
ESPORTSTMNT01_2691713,100 Thieves,1
ESPORTSTMNT01_2701892,Cloud9,1
ESPORTSTMNT01_2701892,Golden Guardians,0
ESPORTSTMNT01_2701898,FlyQuest,0
ESPORTSTMNT01_2701898,TSM,1
ESPORTSTMNT01_2701905,100 Thieves,1
ESPORTSTMNT01_2701905,Golden Guardians,0
ESPORTSTMNT01_2701917,Cloud9,1
ESPORTSTMNT01_2701917,FlyQuest,0
ESPORTSTMNT01_2701941,Nongshim RedForce,1
ESPORTSTMNT01_2701941,BNK FEARX,0
ESPORTSTMNT01_2701966,Nongshim RedForce,1
ESPORTSTMNT01_2701966,BNK FEARX,0
ESPORTSTMNT01_2701968,Kwangdong Freecs,0
ESPORTSTMNT01_2701968,KT Rolster,1
ESPORTSTMNT01_2701997,Kwangdong Freecs,0
ESPORTSTMNT01_2701997,KT Rolster,1
ESPORTSTMNT04_2110359,Rogue,1
ESPORTSTMNT04_2110359,Misfits Gaming,0
ESPORTSTMNT04_2090389,GiantX,0
ESPORTSTMNT04_2090389,Team BDS,1
ESPORTSTMNT04_2090394,SK Gaming,1
ESPORTSTMNT04_2090394,MAD Lions KOI,0
ESPORTSTMNT04_2090404,G2 Esports,1
ESPORTSTMNT04_2090404,Astralis,0
ESPORTSTMNT04_2110375,Team Vitality,0
ESPORTSTMNT04_2110375,Fnatic,1
ESPORTSTMNT01_2692054,Dignitas,0
ESPORTSTMNT01_2692054,Team Liquid,1
ESPORTSTMNT01_2702177,NRG Kia,1
ESPORTSTMNT01_2702177,Immortals,0
ESPORTSTMNT01_2702184,Team Liquid,0
ESPORTSTMNT01_2702184,Evil Geniuses,1
ESPORTSTMNT01_2702196,Immortals,0
ESPORTSTMNT01_2702196,Dignitas,1
ESPORTSTMNT01_2702203,NRG Kia,0
ESPORTSTMNT01_2702203,Evil Geniuses,1
ESPORTSTMNT01_2702254,OKSavingsBank Brion,1
ESPORTSTMNT01_2702254,Hanwha Life Esports,0
ESPORTSTMNT01_2702297,Hanwha Life Esports,1
ESPORTSTMNT01_2702297,OKSavingsBank Brion,0
ESPORTSTMNT01_2702309,OKSavingsBank Brion,1
ESPORTSTMNT01_2702309,Hanwha Life Esports,0
ESPORTSTMNT01_2702317,Dplus KIA,1
ESPORTSTMNT01_2702317,Gen.G,0
ESPORTSTMNT01_2702340,Gen.G,1
ESPORTSTMNT01_2702340,Dplus KIA,0
ESPORTSTMNT01_2692264,Dplus KIA,0
ESPORTSTMNT01_2692264,Gen.G,1
ESPORTSTMNT01_2702406,Team BDS,0
ESPORTSTMNT01_2702406,Misfits Gaming,1
ESPORTSTMNT01_2702451,GiantX,1
ESPORTSTMNT01_2702451,Team Vitality,0
ESPORTSTMNT01_2692407,Rogue,1
ESPORTSTMNT01_2692407,Astralis,0
ESPORTSTMNT01_2692425,SK Gaming,0
ESPORTSTMNT01_2692425,Fnatic,1
ESPORTSTMNT01_2692441,MAD Lions KOI,1
ESPORTSTMNT01_2692441,G2 Esports,0
ESPORTSTMNT01_2702518,FlyQuest,1
ESPORTSTMNT01_2702518,100 Thieves,0
ESPORTSTMNT01_2692497,Team Liquid,1
ESPORTSTMNT01_2692497,NRG Kia,0
ESPORTSTMNT01_2692529,TSM,0
ESPORTSTMNT01_2692529,Cloud9,1
ESPORTSTMNT01_2692548,Evil Geniuses,1
ESPORTSTMNT01_2692548,Immortals,0
ESPORTSTMNT01_2692567,Golden Guardians,0
ESPORTSTMNT01_2692567,FlyQuest,1
ESPORTSTMNT01_2693789,Nongshim RedForce,1
ESPORTSTMNT01_2693789,Dplus KIA,0
ESPORTSTMNT01_2703805,Dplus KIA,1
ESPORTSTMNT01_2703805,Nongshim RedForce,0
ESPORTSTMNT01_2703811,Nongshim RedForce,1
ESPORTSTMNT01_2703811,Dplus KIA,0
ESPORTSTMNT01_2693854,KT Rolster,1
ESPORTSTMNT01_2693854,Hanwha Life Esports,0
ESPORTSTMNT01_2693886,Hanwha Life Esports,0
ESPORTSTMNT01_2693886,KT Rolster,1
ESPORTSTMNT01_2704285,DRX,0
ESPORTSTMNT01_2704285,T1,1
ESPORTSTMNT01_2694425,T1,1
ESPORTSTMNT01_2694425,DRX,0
ESPORTSTMNT01_2694428,OKSavingsBank Brion,0
ESPORTSTMNT01_2694428,Gen.G,1
ESPORTSTMNT01_2694459,OKSavingsBank Brion,0
ESPORTSTMNT01_2694459,Gen.G,1
ESPORTSTMNT01_2704900,BNK FEARX,0
ESPORTSTMNT01_2704900,Kwangdong Freecs,1
ESPORTSTMNT01_2704920,BNK FEARX,0
ESPORTSTMNT01_2704920,Kwangdong Freecs,1
ESPORTSTMNT01_2704929,Nongshim RedForce,0
ESPORTSTMNT01_2704929,KT Rolster,1
ESPORTSTMNT01_2695078,Nongshim RedForce,1
ESPORTSTMNT01_2695078,KT Rolster,0
ESPORTSTMNT01_2695092,KT Rolster,0
ESPORTSTMNT01_2695092,Nongshim RedForce,1
ESPORTSTMNT01_2705039,Misfits Gaming,1
ESPORTSTMNT01_2705039,GiantX,0
ESPORTSTMNT01_2705072,Astralis,0
ESPORTSTMNT01_2705072,Fnatic,1
ESPORTSTMNT01_2705102,G2 Esports,1
ESPORTSTMNT01_2705102,SK Gaming,0
ESPORTSTMNT01_2705156,Team BDS,0
ESPORTSTMNT01_2705156,Team Vitality,1
ESPORTSTMNT01_2705190,MAD Lions KOI,0
ESPORTSTMNT01_2705190,Rogue,1
ESPORTSTMNT01_2695387,Dignitas,0
ESPORTSTMNT01_2695387,NRG Kia,1
ESPORTSTMNT01_2695415,100 Thieves,1
ESPORTSTMNT01_2695415,Cloud9,0
ESPORTSTMNT01_2695435,Immortals,0
ESPORTSTMNT01_2695435,Team Liquid,1
ESPORTSTMNT01_2695450,Golden Guardians,1
ESPORTSTMNT01_2695450,TSM,0
ESPORTSTMNT01_2695459,Evil Geniuses,1
ESPORTSTMNT01_2695459,Dignitas,0
ESPORTSTMNT01_2705385,Dplus KIA,1
ESPORTSTMNT01_2705385,OKSavingsBank Brion,0
ESPORTSTMNT01_2695530,OKSavingsBank Brion,0
ESPORTSTMNT01_2695530,Dplus KIA,1
ESPORTSTMNT01_2695541,Gen.G,0
ESPORTSTMNT01_2695541,Hanwha Life Esports,1
ESPORTSTMNT01_2695573,Gen.G,1
