iter	Logloss
0	0.6903834814
1	0.6883241378
2	0.6857760625
3	0.6835569792
4	0.6817575868
5	0.679559647
6	0.6775480217
7	0.6756621568
8	0.6739659696
9	0.6719905036
10	0.6700135479
11	0.6685339836
12	0.6669309191
13	0.6655895407
14	0.6642792973
15	0.6627708337
16	0.6610757739
17	0.6596583557
18	0.6582765708
19	0.6571725224
20	0.6560707772
21	0.655093154
22	0.6540804861
23	0.6529549389
24	0.6520418822
25	0.6510764803
26	0.6501131889
27	0.6491979829
28	0.6483007767
29	0.6473252652
30	0.6465098569
31	0.645564607
32	0.6449464586
33	0.6443780559
34	0.6437536396
35	0.6430315935
36	0.642387496
37	0.6416574501
38	0.6410290008
39	0.640382143
40	0.6395277472
41	0.6389426169
42	0.6382429957
43	0.6375779173
44	0.6369143157
45	0.6365074773
46	0.6359612064
47	0.6354463668
48	0.634847854
49	0.6342416325
50	0.6337661103
51	0.6330855588
52	0.6325278795
53	0.6323521805
54	0.6319028276
55	0.6315031106
56	0.630851803
57	0.6305647297
58	0.6300464009
59	0.6295813028
60	0.6291769151
61	0.6288822577
62	0.6284493041
63	0.628043718
64	0.6275277355
65	0.627147951
66	0.6267975838
67	0.6264245587
68	0.6260117579
69	0.6257532758
70	0.6253971796
71	0.6249697045
72	0.6245754285
73	0.6241961943
74	0.6237708357
75	0.6234563959
76	0.6232367436
77	0.6229663395
78	0.6227027799
79	0.6225068562
80	0.6222296668
81	0.621884968
82	0.6216550066
83	0.6214271101
84	0.6210763808
85	0.6208006855
86	0.6205242796
87	0.6201323939
88	0.6198302066
89	0.6196280443
90	0.6194100054
91	0.619086071
92	0.6187717247
93	0.6184812335
94	0.6182178273
95	0.6179156873
96	0.6174731479
97	0.6172085945
98	0.6168488336
99	0.6164620001
100	0.6161964404
101	0.6158447746
102	0.6154642374
103	0.6152909925
104	0.6149592153
105	0.6145138862
106	0.6142555531
107	0.6139247833
108	0.6136512177
109	0.6131877233
110	0.6129493957
111	0.6127330366
112	0.6123898546
113	0.6121772059
114	0.6119657968
115	0.6116725046
116	0.6114684529
117	0.6112300625
118	0.6110520756
119	0.6107134507
120	0.6105082997
121	0.6102605435
122	0.6102356385
123	0.6100533311
124	0.6098428965
125	0.609675312
126	0.609350937
127	0.6091250838
128	0.6089135738
129	0.6086477803
130	0.6083138389
131	0.6081497756
132	0.6079112708
133	0.6077370066
134	0.607431895
135	0.6071429636
136	0.6068948664
137	0.6067155769
138	0.6065100739
139	0.6063483456
140	0.6061293064
141	0.6059716718
142	0.6057664502
143	0.6055800297
144	0.6054094674
145	0.6052276673
146	0.6051309499
147	0.6050169489
148	0.6049008099
149	0.6047503884
150	0.6045609123
151	0.6043300268
