patch,level_1,ban_count,ban_rate,pick_count,pick_rate,ban_pick_count,ban_pick_rate,wins,games,win_rate
12.01,Akali,32.0,28.83,23.0,20.72,55.0,49.55,12.0,23.0,0.5217391304347826
12.01,Akshan,7.0,6.31,5.0,4.5,12.0,10.81,2.0,5.0,0.4
12.01,Aphelios,9.0,8.11,51.0,45.95,60.0,54.05,23.0,51.0,0.45098039215686275
12.01,Azir,4.0,3.6,3.0,2.7,7.0,6.31,1.0,3.0,0.3333333333333333
12.01,Braum,4.0,3.6,4.0,3.6,8.0,7.21,2.0,4.0,0.5
12.01,Caitlyn,85.0,76.58,21.0,18.92,106.0,95.5,13.0,21.0,0.6190476190476191
12.01,Camille,15.0,13.51,14.0,12.61,29.0,26.13,7.0,14.0,0.5
12.01,Corki,49.0,44.14,36.0,32.43,85.0,76.58,23.0,36.0,0.6388888888888888
12.01,Diana,44.0,39.64,11.0,9.91,55.0,49.55,8.0,11.0,0.7272727272727273
12.01,Dr. Mundo,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.01,Ezreal,5.0,4.5,20.0,18.02,25.0,22.52,7.0,20.0,0.35
12.01,Galio,1.0,0.9,4.0,3.6,5.0,4.5,3.0,4.0,0.75
12.01,Gangplank,7.0,6.31,6.0,5.41,13.0,11.71,4.0,6.0,0.6666666666666666
12.01,Gragas,11.0,9.91,40.0,36.04,51.0,45.95,17.0,40.0,0.425
12.01,Graves,19.0,17.12,23.0,20.72,42.0,37.84,14.0,23.0,0.6086956521739131
12.01,Gwen,27.0,24.32,39.0,35.14,66.0,59.46,16.0,39.0,0.41025641025641024
12.01,Hecarim,2.0,1.8,3.0,2.7,5.0,4.5,0.0,3.0,0.0
12.01,Irelia,6.0,5.41,3.0,2.7,9.0,8.11,2.0,3.0,0.6666666666666666
12.01,Jarvan IV,29.0,26.13,38.0,34.23,67.0,60.36,20.0,38.0,0.5263157894736842
12.01,Jax,5.0,4.5,2.0,1.8,7.0,6.31,1.0,2.0,0.5
12.01,Jayce,31.0,27.93,13.0,11.71,44.0,39.64,8.0,13.0,0.6153846153846154
