patch,league,side,result,total_games,win_rate
12.01,CBLOL,Blue,6,10.0,0.6
12.01,CBLOL,Red,4,10.0,0.4
12.01,CBLOLA,Blue,6,10.0,0.6
12.01,CBLOLA,Red,4,10.0,0.4
12.01,DDH,Blue,10,24.0,0.4166666666666667
12.01,DDH,Red,14,24.0,0.5833333333333334
12.01,EBL,Blue,6,12.0,0.5
12.01,EBL,Red,6,12.0,0.5
12.01,EL,Blue,4,8.0,0.5
12.01,EL,Red,4,8.0,0.5
12.01,ESLOL,Blue,11,16.0,0.6875
12.01,ESLOL,Red,5,16.0,0.3125
12.01,GL,Blue,6,8.0,0.75
12.01,GL,Red,2,8.0,0.25
12.01,GLL,Blue,7,16.0,0.4375
12.01,GLL,Red,9,16.0,0.5625
12.01,HM,Blue,8,16.0,0.5
12.01,HM,Red,8,16.0,0.5
12.01,LCK,Blue,21,47.0,0.44680851063829785
12.01,LCK,Red,26,47.0,0.5531914893617021
12.01,LCKC,Blue,17,40.0,0.425
12.01,LCKC,Red,23,40.0,0.575
12.01,LCO,Blue,5,8.0,0.625
12.01,LCO,Red,3,8.0,0.375
12.01,LCS,Blue,16,29.0,0.5517241379310345
12.01,LCS,Red,13,29.0,0.4482758620689655
12.01,LCSA,Blue,7,20.0,0.35
12.01,LCSA,Red,13,20.0,0.65
12.01,LEC,Blue,13,25.0,0.52
12.01,LEC,Red,12,25.0,0.48
12.01,LFL,Blue,14,30.0,0.4666666666666667
12.01,LFL,Red,16,30.0,0.5333333333333333
12.01,LFL2,Blue,10,20.0,0.5
12.01,LFL2,Red,10,20.0,0.5
12.01,LHE,Blue,5,10.0,0.5
12.01,LHE,Red,5,10.0,0.5
12.01,LMF,Blue,10,17.0,0.5882352941176471
12.01,LMF,Red,7,17.0,0.4117647058823529
12.01,LPLOL,Blue,6,16.0,0.375
12.01,LPLOL,Red,10,16.0,0.625
12.01,LVP SL,Blue,16,30.0,0.5333333333333333
12.01,LVP SL,Red,14,30.0,0.4666666666666667
12.01,NLC,Blue,14,30.0,0.4666666666666667
12.01,NLC,Red,16,30.0,0.5333333333333333
12.01,PGC,Blue,70,143.0,0.48951048951048953
12.01,PGC,Red,73,143.0,0.5104895104895105
12.01,PGN,Blue,7,16.0,0.4375
12.01,PGN,Red,9,16.0,0.5625
12.01,PRM,Blue,18,40.0,0.45
12.01,PRM,Red,22,40.0,0.55
12.01,SL (LATAM),Blue,6,8.0,0.75
12.01,SL (LATAM),Red,2,8.0,0.25
12.01,TAL,Blue,8,10.0,0.8
12.01,TAL,Red,2,10.0,0.2
12.01,TCL,Blue,3,10.0,0.3
12.01,TCL,Red,7,10.0,0.7
12.01,UL,Blue,13,20.0,0.65
12.01,UL,Red,7,20.0,0.35
12.01,VL,Blue,3,8.0,0.375
12.01,VL,Red,5,8.0,0.625
12.02,CBLOL,Blue,13,20.0,0.65
12.02,CBLOL,Red,7,20.0,0.35
12.02,CBLOLA,Blue,13,20.0,0.65
12.02,CBLOLA,Red,7,20.0,0.35
12.02,DDH,Blue,11,24.0,0.4583333333333333
12.02,DDH,Red,13,24.0,0.5416666666666666
12.02,EBL,Blue,12,20.0,0.6
12.02,EBL,Red,8,20.0,0.4
12.02,EL,Blue,8,16.0,0.5
12.02,EL,Red,8,16.0,0.5
12.02,ESLOL,Blue,7,16.0,0.4375
12.02,ESLOL,Red,9,16.0,0.5625
12.02,GL,Blue,10,19.0,0.5263157894736842
12.02,GL,Red,9,19.0,0.47368421052631576
12.02,GLL,Blue,8,16.0,0.5
12.02,GLL,Red,8,16.0,0.5
12.02,HC,Blue,11,16.0,0.6875
12.02,HC,Red,5,16.0,0.3125
12.02,HM,Blue,8,16.0,0.5
12.02,HM,Red,8,16.0,0.5
12.02,LCK,Blue,28,49.0,0.5714285714285714
12.02,LCK,Red,21,49.0,0.42857142857142855
12.02,LCKC,Blue,20,39.0,0.5128205128205128
12.02,LCKC,Red,19,39.0,0.48717948717948717
12.02,LCO,Blue,9,16.0,0.5625
12.02,LCO,Red,7,16.0,0.4375
12.02,LCS,Blue,8,20.0,0.4
12.02,LCS,Red,12,20.0,0.6
12.02,LCSA,Blue,21,40.0,0.525
12.02,LCSA,Red,19,40.0,0.475
12.02,LEC,Blue,12,20.0,0.6
12.02,LEC,Red,8,20.0,0.4
12.02,LFL,Blue,13,20.0,0.65
12.02,LFL,Red,7,20.0,0.35
12.02,LFL2,Blue,9,20.0,0.45
12.02,LFL2,Red,11,20.0,0.55
12.02,LHE,Blue,9,18.0,0.5
12.02,LHE,Red,9,18.0,0.5
12.02,LJL,Blue,1,8.0,0.125
12.02,LJL,Red,7,8.0,0.875
12.02,LLA,Blue,6,16.0,0.375
12.02,LLA,Red,10,16.0,0.625
12.02,LMF,Blue,15,37.0,0.40540540540540543
12.02,LMF,Red,22,37.0,0.5945945945945946
12.02,LPLOL,Blue,5,16.0,0.3125
12.02,LPLOL,Red,11,16.0,0.6875
12.02,LVP SL,Blue,11,20.0,0.55
12.02,LVP SL,Red,9,20.0,0.45
12.02,NLC,Blue,8,20.0,0.4
12.02,NLC,Red,12,20.0,0.6
12.02,PGN,Blue,7,16.0,0.4375
12.02,PGN,Red,9,16.0,0.5625
12.02,PRM,Blue,10,25.0,0.4
12.02,PRM,Red,15,25.0,0.6
12.02,SL (LATAM),Blue,12,19.0,0.631578947368421
12.02,SL (LATAM),Red,7,19.0,0.3684210526315789
12.02,TAL,Blue,11,20.0,0.55
12.02,TAL,Red,9,20.0,0.45
12.02,TCL,Blue,6,20.0,0.3
12.02,TCL,Red,14,20.0,0.7
12.02,UL,Blue,16,30.0,0.5333333333333333
12.02,UL,Red,14,30.0,0.4666666666666667
12.02,VCS,Blue,16,27.0,0.5925925925925926
12.02,VCS,Red,11,27.0,0.4074074074074074
12.02,VL,Blue,9,20.0,0.45
12.02,VL,Red,11,20.0,0.55
12.03,CBLOL,Blue,9,20.0,0.45
12.03,CBLOL,Red,11,20.0,0.55
12.03,CBLOLA,Blue,11,20.0,0.55
12.03,CBLOLA,Red,9,20.0,0.45
